pid,label,company,_date,decade,commentary,object_type,source,source_name,order,layout,collection,thumbnail,manifest
obj161,Computer Terminal Corporation Data Point 3300 Page 2,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_02,,160,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj161/full/250,/0/default.jpg",/img/derivatives/iiif/obj161/manifest.json
obj162,Computer Terminal Corporation Data Point 3300 Page 3,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_03,,161,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj162/full/250,/0/default.jpg",/img/derivatives/iiif/obj162/manifest.json
obj163,Computer Terminal Corporation Data Point 3300 Page 4,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_04,,162,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj163/full/250,/0/default.jpg",/img/derivatives/iiif/obj163/manifest.json
obj164,Computer Terminal Corporation Data Point 3300 Page 5,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_05,,163,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj164/full/250,/0/default.jpg",/img/derivatives/iiif/obj164/manifest.json
obj165,Computer Terminal Corporation Data Point 3300 Page 6,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_06,,164,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj165/full/250,/0/default.jpg",/img/derivatives/iiif/obj165/manifest.json
obj166,Computer Terminal Corporation Data Point 3300 Page 7,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_07,,165,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj166/full/250,/0/default.jpg",/img/derivatives/iiif/obj166/manifest.json
obj167,Computer Terminal Corporation Data Point 3300 Page 8,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_08,,166,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj167/full/250,/0/default.jpg",/img/derivatives/iiif/obj167/manifest.json
obj168,Computer Terminal Corporation Data Point 3300 Page 9,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_09,,167,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj168/full/250,/0/default.jpg",/img/derivatives/iiif/obj168/manifest.json
obj169,Computer Terminal Corporation Data Point 3300 Page 10,Computer Terminal Corporation,1969,60s,,brochure,computerterminalcorporation_datapoint3300_1969_Page_10,,168,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj169/full/250,/0/default.jpg",/img/derivatives/iiif/obj169/manifest.json
obj170,Dedicated Disk HP Page 1,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_01,,169,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj170/full/250,/0/default.jpg",/img/derivatives/iiif/obj170/manifest.json
